Address,PermitNumber,Units
"388 KASLO STREET, Vancouver, BC",BP-2016-00814,94
"3639 W 16TH AVENUE, Vancouver, BC V6R 3C3",BP-2017-01403,29
"155 W 41ST AVENUE, Vancouver, BC V1V 1V1",BP-2018-01295,18
"2743 DUKE STREET, Vancouver, BC V5R 4S8",BP-2018-06605,3
"5150 SLOCAN STREET, Vancouver, BC V5R 2A5",BP-2019-02266,4
"2298 E 33RD AVENUE, Vancouver, BC V5N 3G1",BP-2019-00912,9
"5005 CLARENDON STREET, Vancouver, BC V1V 1V1",BP-2016-03730,9
"2384 E 34TH AVENUE, Vancouver, BC V1V 1V1",BP-2016-03441,9
"5031 CHAMBERS STREET, Vancouver, BC V5R 3L8",BU467584,8
"539 E 6TH AVENUE, Vancouver, BC V5T 1K9",BP-2018-02006,6
"8530 OSLER STREET, Vancouver, BC",BU468747,18
"7861 OAK STREET, Vancouver, BC V1V 1V1",BU468736,40
"7801 OAK STREET, Vancouver, BC V1V 1V1",BU468737,40
"7823 OAK STREET, Vancouver, BC V1V 1V1",BU468739,40
"4519 EARLES STREET, Vancouver, BC V5R 3R1",BP-2016-03952,6
"7790 CAMBIE STREET, Vancouver, BC V6P 3H7",BP-2017-03804,25
"3420 ST. CATHERINES STREET, Vancouver, BC V5V 4K8",BP-2016-04470,19
"2062 E 8TH AVENUE, Vancouver, BC V5N 1V2",BP-2021-03211,3
None,BP-2017-01331,148
"477 W 59TH AVENUE, Vancouver, BC V5X 1X4",BP-2018-00271,43
"5155 MAIN STREET, Vancouver, BC V5W 2R4",BP-2019-04525,62
"1009 LAURIER AVENUE, Vancouver, BC V1V 1V1",BU467957,11
"6999 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-01022,24
"8558 OSLER STREET, Vancouver, BC",BU468749,18
"703 VICTORIA DRIVE, Vancouver, BC V5L 4E5",BP-2017-02778,6
"1111 RICHARDS STREET, Vancouver, BC V6B 5C7",BU468090,191
"4240 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2018-06374,58
"2105 W 46TH AVENUE, Vancouver, BC V6M 2L2",BP-2020-02836,54
"4232 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2020-00384,4
"4222 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2020-00386,2
"6521 FREMLIN STREET, Vancouver, BC V6P 3W1",BP-2021-02058,8
"1818 ALBERNI STREET, Vancouver, BC V6G 1B3",BP-2018-04683,126
"4189 YEW STREET, Vancouver, BC",BP-2021-02402,266
"1580 VERNON DRIVE, Vancouver, BC V6A 0J6",BP-2020-04029,52
"928 COMMERCIAL DRIVE, Vancouver, BC V5L 3W7",BP-2017-06129,10
"7887 FRENCH STREET, Vancouver, BC V6P 4V8",BP-2017-02670,4
"7871 FRENCH STREET, Vancouver, BC V6P 4V8",BP-2017-02672,5
"1187 E 15TH AVENUE, Vancouver, BC V5T 2S7",BP-2019-00967,3
"1560 E 10TH AVENUE, Vancouver, BC",BP-2021-04746,4
"1074 CARDERO STREET, Vancouver, BC V6G 2H3",BP-2020-03954,5
"239 E 16TH AVENUE, Vancouver, BC V5T 2T5",BP-2021-05613,6
"729 E BROADWAY, Vancouver, BC V5T 1X8",BP-2020-02694,24
"1385 E 24TH AVENUE, Vancouver, BC V5V 2B6",BP-2021-06071,3
"3838 RUPERT STREET, Vancouver, BC V5M 2Z3",BP-2018-02638,98
"5189 CAMBIE STREET, Vancouver, BC V5Z 2Z6",BP-2017-02439,118
"5209 CAMBIE STREET, Vancouver, BC V5Z 2Z6",BP-2018-06003,3
"688 W 57TH AVENUE, Vancouver, BC V5X 1S9",BP-2018-04675,148
"2235 E BROADWAY, Vancouver, BC V5N 1W8",BP-2020-02833,81
"2089 W 43RD AVENUE, Vancouver, BC V6M 2C8",BP-2016-04326,16
"1795 W 16TH AVENUE, Vancouver, BC V6J 2L9",BP-2017-02097,4
"1515 ALBERNI STREET, Vancouver, BC V1V 1V1",BP-2018-04783,202
"745 W 49TH AVENUE, Vancouver, BC",BP-2021-06905,9
"785 W 49TH AVENUE, Vancouver, BC V5Z 2S6",BP-2021-06903,7
"108 E 35TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-03751,18
"5385 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-03484,2
"4988 CAMBIE STREET, Vancouver, BC V5Z 2Z5",BP-2016-04096,44
"188 E 49TH AVENUE, Vancouver, BC V5W 2G2",BP-2016-03078,75
"695 E 19TH AVENUE, Vancouver, BC V5V 1K1",BP-2020-01576,104
"633 W KING EDWARD AVENUE, Vancouver, BC",BP-2016-01795,24
"4128 ASH STREET, Vancouver, BC",BP-2020-02411,35
"4081 ASH STREET, Vancouver, BC V1V 1V1",BP-2018-00430,3
"5089 QUEBEC STREET, Vancouver, BC V5W 2N3",BP-2016-02188,43
"1180 COMOX STREET, Vancouver, BC V6E 1K5",BP-2016-01922,6
"3050 KINGSWAY, Vancouver, BC V5R 5J7",BP-2019-03563,21
"3601 RAE AVENUE, Vancouver, BC V5R 2P6",BP-2018-03802,26
"439 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3",BP-2020-02982,3
"431 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3",BP-2019-04306,44
"5733 ALBERTA STREET, Vancouver, BC V5Y 4B2",BP-2018-00597,57
"288 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1",BP-2017-01830,5
"3198 RIVERWALK AVENUE, Vancouver, BC",BP-2018-04680,65
"212 E 28TH AVENUE, Vancouver, BC V5V 2M4",BP-2018-04624,21
"889 PACIFIC STREET, Vancouver, BC V1V 1V1",BP-2017-03246,214
"528 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1",BP-2017-01273,70
"204 W 15TH AVENUE, Vancouver, BC V5Y 1X9",BP-2021-03949,3
"1371 W 11TH AVENUE, Vancouver, BC V6H 1K7",BP-2018-02135,13
"530 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00196,8
"520 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2019-01517,8
"550 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00198,5
"5005 ASH STREET, Vancouver, BC V5Z 3G3",BP-2021-00055,4
"7878 GRANVILLE STREET, Vancouver, BC V6P 4Z2",BP-2017-05753,19
"7587 YUKON STREET, Vancouver, BC V5X 2Y4",BP-2019-00102,8
"7613 YUKON STREET, Vancouver, BC V5X 2Y4",BP-2019-00105,7
"529 E 6TH AVENUE, Vancouver, BC V5T 1K9",BP-2018-00326,4
"344 W 16TH AVENUE, Vancouver, BC V5Y 1Y9",BP-2021-01847,5
"7305 HUDSON STREET, Vancouver, BC V6P 4L1",BP-2021-00128,3
"1181 CARDERO STREET, Vancouver, BC V1V 1V1",BP-2017-00538,330
"6668 FRASER STREET, Vancouver, BC V5X 3T5",BP-2016-04168,18
"5399 JOYCE STREET, Vancouver, BC V5R 4H3",BP-2021-00636,46
"950 MAIN STREET, Vancouver, BC V6A 2W1",BP-2017-04840,26
"2373 W 7TH AVENUE, Vancouver, BC V6K 1Y4",BP-2020-03990,3
"8508 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1",BP-2018-00854,30
"3451 SAWMILL CRESCENT, Vancouver, BC V1V 1V1",BP-2018-00876,66
"3996 DUMFRIES STREET, Vancouver, BC V5N 5R3",BP-2020-01943,123
"7557 OAK STREET, Vancouver, BC V6P 4A4",BP-2019-04362,31
"8311 FRENCH STREET, Vancouver, BC V6P 4W3",BP-2020-01185,24
"1425 E 12TH AVENUE, Vancouver, BC V5N 2A1",BP-2021-00850,72
"444 KOOTENAY STREET, Vancouver, BC",BP-2020-03027,90
"268 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J2",BP-2018-01315,45
"523 W KING EDWARD AVENUE, Vancouver, BC V5Z 2C4",BP-2017-00384,66
"531 W KING EDWARD AVENUE, Vancouver, BC V5Z 2C4",BP-2017-00385,66
"322 E 15TH AVENUE, Vancouver, BC V5T 2R1",BP-2020-03648,49
"6333 WEST BOULEVARD, Vancouver, BC V1V 1V1",BP-2016-03780,39
"581 W 26TH AVENUE, Vancouver, BC V5Z 2E4",BP-2022-00672,19
None,BP-2018-04621,51
"458 W 63RD AVENUE, Vancouver, BC V5X 2K2",BP-2017-03888,33
"255 W 49TH AVENUE, Vancouver, BC V5Y 2Z8",BP-2021-05636,82
"1771 E 18TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-05913,115
"1771 E 18TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-03562,111
"3625 SAWMILL CRESCENT, Vancouver, BC V1V 1V1",BP-2018-00604,119
"2661 HORLEY STREET, Vancouver, BC V1V 1V1",BP-2017-01923,6
"4675 CAMBIE STREET, Vancouver, BC V5Z 2Z1",BP-2018-04328,34
"8398 OAK STREET, Vancouver, BC V6P 4B1",BP-2020-02488,65
"138 E 8TH AVENUE, Vancouver, BC V5T 1R7",BP-2018-03541,18
"414 E 5TH AVENUE, Vancouver, BC V5T 1H7",BP-2019-05076,5
"710 E 19TH AVENUE, Vancouver, BC V1V 1V1",BP-2019-00608,58
"388 SLOCAN STREET, Vancouver, BC",BP-2021-02411,70
"2121 E 33RD AVENUE, Vancouver, BC V5N 3E9",BP-2016-03683,12
"689 W 30TH AVENUE, Vancouver, BC",BP-2021-04696,43
"677 W 59TH AVENUE, Vancouver, BC V6P 1X5",BP-2020-02015,2
"1010 E 7TH AVENUE, Vancouver, BC V5T 1P7",BP-2017-00500,3
"7078 FRASER STREET, Vancouver, BC V5X 3V5",BP-2017-00027,4
"2511 CAROLINA STREET, Vancouver, BC V5T 3S8",BP-2019-02222,64
"3264 VANNESS AVENUE, Vancouver, BC V5R 5A6",BP-2021-02279,63
"5212 CAMBIE STREET, Vancouver, BC V5Z 2Z7",BP-2021-02873,80
"3338 SAWMILL CRESCENT, Vancouver, BC",BP-2019-04439,337
"4908 CAMBIE STREET, Vancouver, BC V5Z 2Z5",BP-2017-00982,78
"7302 GRANVILLE STREET, Vancouver, BC V6P 1S9",BP-2016-01092,2
"7358 GRANVILLE STREET, Vancouver, BC V6P 4Y2",BP-2017-00709,3
"7332 GRANVILLE STREET, Vancouver, BC V1V 1V1",BP-2017-00707,5
"1601 QUEBEC STREET, Vancouver, BC V1V 1V1",BP-2019-01396,84
"3202 RIVERWALK AVENUE, Vancouver, BC",BP-2020-03843,204
"8080 NUNAVUT LANE, Vancouver, BC V1V 1V1",BP-2017-00891,42
"455 SW MARINE DRIVE, Vancouver, BC V5X 2R9",BP-2017-00889,168
"1571 W 57TH AVENUE, Vancouver, BC V6P 6E9",BP-2016-03958,48
"7228 ADERA STREET, Vancouver, BC V6P 5C4",BP-2016-03955,60
"7128 ADERA STREET, Vancouver, BC V1V 1V1",BP-2016-03954,94
"8486 OAK STREET, Vancouver, BC V6P 4B1",BP-2021-04690,42
"3668 W 10TH AVENUE, Vancouver, BC V6R 2G3",BP-2018-04771,35
"2132 ASH STREET, Vancouver, BC V1V 1V1",BP-2018-01035,52
"7460 HEATHER STREET, Vancouver, BC V6P 0H4",BP-2017-05710,39
"3068 KINGSWAY, Vancouver, BC V5R 5J7",BP-2017-05381,32
"2123 E 33RD AVENUE, Vancouver, BC V5N 3E9",BP-2020-02115,6
"4502 RUPERT STREET, Vancouver, BC",BP-2021-00545,51
"7565 OAK STREET, Vancouver, BC V6P 4A4",BP-2019-05462,5
"1289 NICOLA STREET, Vancouver, BC",BP-2021-00328,10
"2550 GARDEN DRIVE, Vancouver, BC V5N 4X6",BP-2020-01025,36
"8579 SHAUGHNESSY STREET, Vancouver, BC V6P 3Y1",BU458609,7
"1152 COMOX STREET, Vancouver, BC V6E 1K5",BP-2017-03563,6
"6733 CAMBIE STREET, Vancouver, BC V6P 3H1",BP-2016-03038,56
"3479 CAMBIE STREET, Vancouver, BC V5Z 2W7",BP-2019-03136,4
"688 W 41ST AVENUE, Vancouver, BC V5Z 2M9",BP-2022-02446,474
"688 W 41ST AVENUE, Vancouver, BC V5Z 2M9",BP-2019-01696,474
"5928 CHOY YUEN CRESCENT, Vancouver, BC",BP-2021-04313,192
"5802 CHOY YUEN CRESCENT, Vancouver, BC V5Z 2M9",BP-2020-03879,187
"6342 OAK STREET, Vancouver, BC",BP-2022-00235,7
"6294 OAK STREET, Vancouver, BC",BP-2022-00239,3
"6306 OAK STREET, Vancouver, BC",BP-2022-00237,3
"6286 OAK STREET, Vancouver, BC",BP-2022-00240,8
"3185 RIVERWALK AVENUE, Vancouver, BC V1V 1V1",BP-2017-01420,109
"66 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2020-02208,10
"8138 FRASER STREET, Vancouver, BC V1V 1V1",BP-2019-01620,40
"8181 CHESTER STREET, Vancouver, BC V1V 1V1",BP-2019-01621,133
"8188 FRASER STREET, Vancouver, BC V1V 1V1",BP-2019-01619,160
"8121 CHESTER STREET, Vancouver, BC V1V 1V1",BP-2019-01622,30
"3596 W 28TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-04936,48
"473 W 28TH AVENUE, Vancouver, BC",BP-2021-05441,10
"479 W 28TH AVENUE, Vancouver, BC",BP-2021-05436,10
"365 E 16TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-00518,9
"2629 DUKE STREET, Vancouver, BC V1V 1V1",BP-2016-02874,4
"6858 ASH STREET, Vancouver, BC",BP-2021-04891,6
"6894 ASH STREET, Vancouver, BC",BP-2021-04894,6
"6852 ASH STREET, Vancouver, BC",BP-2021-04890,6
"6790 ASH STREET, Vancouver, BC",BP-2021-04884,7
"6832 ASH STREET, Vancouver, BC",BP-2021-04888,3
"6976 ASH STREET, Vancouver, BC",BP-2021-04339,3
"6916 ASH STREET, Vancouver, BC",BP-2021-04335,3
"6950 ASH STREET, Vancouver, BC",BP-2021-04337,5
"6962 ASH STREET, Vancouver, BC",BP-2021-04338,2
"5656 FRASER STREET, Vancouver, BC V5W 2Z4",BP-2021-00869,7
"2525 STEPHENS STREET, Vancouver, BC V1V 1V1",BP-2018-03940,13
"1490 W 32ND AVENUE, Vancouver, BC V6H 2J3",BP-2021-02574,86
"6322 CAMBIE STREET, Vancouver, BC V5Z 3B4",BP-2018-05502,12
"2619 E HASTINGS STREET, Vancouver, BC V5K 1Z5",BP-2020-02271,36
"6308 CAMBIE STREET, Vancouver, BC V5Z 3B4",BP-2018-05501,12
"7870 OAK STREET, Vancouver, BC V6P 4A5",BP-2019-03400,3
"5073 CHAMBERS STREET, Vancouver, BC V1V 1V1",BU468396,8
"7921 OAK STREET, Vancouver, BC V1V 1V1",BU468735,40
"485 W 63RD AVENUE, Vancouver, BC V5X 2J3",BP-2019-04374,29
"1880 FRANCES STREET, Vancouver, BC V5L 1Z7",BU468833,10
"6939 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-01023,12
"8572 OSLER STREET, Vancouver, BC",BU468750,18
"8578 OSLER STREET, Vancouver, BC",BU468751,18
"6521 FREMLIN STREET, Vancouver, BC V6P 3W1",BP-2020-01349,23
"916 W 49TH AVENUE, Vancouver, BC V5Z 2S9",BP-2021-02056,8
"7561 GRANVILLE STREET, Vancouver, BC V6P 4Y6",BP-2017-00297,5
"124 DUNLEVY AVENUE, Vancouver, BC V6A 3T6",BP-2018-00843,140
"6465 VIVIAN STREET, Vancouver, BC V6M 3X6",BP-2017-04562,139
"333 CARRALL STREET, Vancouver, BC V6B 2J4",BP-2018-06589,37
"3592 HULL STREET, Vancouver, BC V5N 4R9",BP-2019-05294,14
"2030 E 20TH AVENUE, Vancouver, BC V5N 2L2",BP-2019-05297,10
"2050 E 20TH AVENUE, Vancouver, BC V5N 2L2",BP-2019-05295,14
"2070 E 20TH AVENUE, Vancouver, BC V5N 2L2",BP-2019-05296,8
"6859 CAMBIE STREET, Vancouver, BC V6P 3H1",BP-2020-00266,67
"7325 GRANVILLE STREET, Vancouver, BC V6P 0G5",BP-2017-01701,5
"8101 SHAUGHNESSY STREET, Vancouver, BC V1V 1V1",BP-2017-00428,4
"8111 SHAUGHNESSY STREET, Vancouver, BC V6P 3X9",BP-2016-00555,15
"489 W 26TH AVENUE, Vancouver, BC V5Y 2K1",BU468733,54
"136 W WOODSTOCK AVENUE, Vancouver, BC V1V 1V1",BP-2017-05268,15
"2508 FRASER STREET, Vancouver, BC V1V 1V1",BP-2017-03619,35
"4750 DUCHESS STREET, Vancouver, BC V5R 3L4",BP-2016-03743,15
"4726 DUCHESS STREET, Vancouver, BC V5R 3L4",BP-2016-03746,15
"2701 CHEYENNE AVENUE, Vancouver, BC V5R 4R5",BP-2016-03747,15
"1039 NICOLA STREET, Vancouver, BC V6G 2E1",BP-2020-01586,9
"488 W 58TH AVENUE, Vancouver, BC V5X 1V5",BP-2018-00270,36
"4928 QUEBEC STREET, Vancouver, BC V5W 2N2",BP-2021-00395,61
"2471 ST. GEORGE STREET, Vancouver, BC V5T 1W9",BP-2021-04316,91
"2250 E 1ST AVENUE, Vancouver, BC V5N 1B9",BP-2021-04397,40
"2230 E 1ST AVENUE, Vancouver, BC",BP-2021-04399,5
"1720 TEMPLETON DRIVE, Vancouver, BC",BP-2021-04398,6
"2250 E 1ST AVENUE, Vancouver, BC V5N 1B9",BP-2020-01736,60
"2693 DUKE STREET, Vancouver, BC V5R 4S8",BP-2020-01304,8
"717 W 17TH AVENUE, Vancouver, BC V5Z 3K4",BP-2017-05904,16
"1355 E 21ST AVENUE, Vancouver, BC V5V 1T1",BP-2021-00699,8
"320 E 2ND AVENUE, Vancouver, BC V5T 1C1",BP-2020-03315,54
"425 COLUMBIA STREET, Vancouver, BC",BP-2020-01830,112
"2408 VICTORIA DRIVE, Vancouver, BC V5N 1T8",BP-2020-02381,10
"1016 E 16TH AVENUE, Vancouver, BC V5T 2W1",BP-2020-03840,3
"3223 ST. CATHERINES STREET, Vancouver, BC V5V 4K6",BP-2019-04013,4
"1888 SCOTIA STREET, Vancouver, BC",BP-2021-03177,133
"2455 KINGSWAY, Vancouver, BC V5R 5G9",BP-2018-03157,14
"443 W 63RD AVENUE, Vancouver, BC V1V 1V1",BP-2017-05673,5
"461 W 63RD AVENUE, Vancouver, BC V1V 1V1",BP-2017-05671,10
"181 E 32ND AVENUE, Vancouver, BC V5V 3R6",BP-2021-01832,89
"3655 VICTORIA DRIVE, Vancouver, BC V5N 5K9",BP-2018-06285,84
"3677 VICTORIA DRIVE, Vancouver, BC V1V 1V1",BP-2018-06286,68
"3655 VICTORIA DRIVE, Vancouver, BC V5N 5K9",BP-2018-02720,84
"46 W HASTINGS STREET, Vancouver, BC V6B 1G6",BP-2019-01227,231
"389 W 59TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-05890,120
"7428 ALBERTA STREET, Vancouver, BC V1V 1V1",BP-2017-05888,120
"7428 ALBERTA STREET, Vancouver, BC V1V 1V1",BP-2017-00570,120
"775 W 49TH AVENUE, Vancouver, BC",BP-2021-06904,7
"765 W 49TH AVENUE, Vancouver, BC",BP-2021-06899,5
"785 W 49TH AVENUE, Vancouver, BC V5Z 2S6",BP-2021-05710,47
"5383 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-01610,45
"5387 CAMBIE STREET, Vancouver, BC",BP-2017-03485,2
"5383 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-03481,45
"5001 CHAMBERS STREET, Vancouver, BC V1V 1V1",BP-2018-00281,13
"828 CAMBIE STREET, Vancouver, BC V6B 2P6",BP-2021-02221,185
"2419 GRANT STREET, Vancouver, BC",BP-2022-00113,33
"3530 W 43RD AVENUE, Vancouver, BC V6N 3J9",BP-2019-04163,3
"8415 GRANVILLE STREET, Vancouver, BC V6P 4Z9",BP-2021-01838,64
"7853 GRANVILLE STREET, Vancouver, BC V6P 4Z1",BP-2017-01149,5
"2687 MAPLE STREET, Vancouver, BC V1V 1V1",BP-2017-01126,8
"2687 MAPLE STREET, Vancouver, BC V1V 1V1",BP-2016-03526,8
"5085 MCHARDY STREET, Vancouver, BC",BP-2021-03015,102
"433 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3",BP-2020-02983,3
"4118 YUKON STREET, Vancouver, BC V1V 1V1",BP-2017-06083,6
"3188 RIVERWALK AVENUE, Vancouver, BC V1V 1V1",BP-2018-04679,76
"1130 E BROADWAY, Vancouver, BC V5T 1Y7",BP-2017-00080,37
"3593 W 30TH AVENUE, Vancouver, BC V5S 1W6",BU467334,59
"1277 HORNBY STREET, Vancouver, BC V6Z 1W4",BP-2021-04700,239
None,BP-2017-04245,66
"530 W KING EDWARD AVENUE, Vancouver, BC V5V 2C9",BP-2017-04248,4
"349 E 6TH AVENUE, Vancouver, BC V5T 1J9",BP-2021-01020,82
"560 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00199,5
"526 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00195,5
"4406 ASH STREET, Vancouver, BC V5Z 4R5",BP-2021-00201,12
"2520 GUELPH STREET, Vancouver, BC V5T 3P5",BP-2020-01183,70
"2408 GRANT STREET, Vancouver, BC V5K 3G4",BP-2019-02147,45
"2450 GARDEN DRIVE, Vancouver, BC",BP-2022-00448,122
"7587 YUKON STREET, Vancouver, BC V5X 2Y4",BP-2018-03262,8
"4783 SLOCAN STREET, Vancouver, BC V5R 2A2",BP-2019-04670,6
"1312 W 57TH AVENUE, Vancouver, BC V6P 1S8",BP-2020-01200,6
"188 E WOODSTOCK AVENUE, Vancouver, BC V5W 0B1",BP-2018-06556,45
"1482 ROBSON STREET, Vancouver, BC V1V 1V1",BP-2018-01124,319
"1788 CYPRESS STREET, Vancouver, BC V6J 0H9",BP-2019-03133,6
"2075 E 1ST AVENUE, Vancouver, BC V5N 1B6",BP-2020-01550,24
"2075 E 1ST AVENUE, Vancouver, BC V5N 1B6",BP-2021-00912,9
"8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1",BP-2018-00856,96
"3581 E KENT AVENUE NORTH, Vancouver, BC V1V 1V1",BP-2018-00857,96
"3588 SAWMILL CRESCENT, Vancouver, BC V1V 1V1",BP-2018-00855,36
"8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1",BP-2017-00958,2
"8533 RIVER DISTRICT CROSSING, Vancouver, BC V5S 0H2",BP-2018-00875,108
"3430 E KENT AVENUE SOUTH, Vancouver, BC V5S 4N4",BP-2019-01108,258
"3430 E KENT AVENUE SOUTH, Vancouver, BC V5S 4N4",BP-2019-01893,258
"3996 DUMFRIES STREET, Vancouver, BC V5N 5R3",BP-2021-01237,123
"3950 DUMFRIES STREET, Vancouver, BC",BP-2021-01238,15
"1162 E 16TH AVENUE, Vancouver, BC V5T 2W3",BP-2020-01417,3
"1395 DAVIE STREET, Vancouver, BC",BP-2017-03903,149
"1206 E 22ND AVENUE, Vancouver, BC V5V 1W6",BP-2019-05137,3
"2075 W 12TH AVENUE, Vancouver, BC V6J 2G3",BP-2018-02450,48
"4121 COLUMBIA STREET, Vancouver, BC V1V 1V1",BP-2018-01092,2
"4125 COLUMBIA STREET, Vancouver, BC V1V 1V1",BP-2018-01093,4
"268 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J2",BP-2017-05508,51
"885 CAMBIE STREET, Vancouver, BC V6B 2P4",BP-2016-03442,93
"4933 CLARENDON STREET, Vancouver, BC V1V 1V1",BP-2019-04799,47
"2775 WARD STREET, Vancouver, BC V5R 4S7",BP-2020-03992,3
"4882 SLOCAN STREET, Vancouver, BC V5R 2A3",BP-2017-01399,37
"4858 SLOCAN STREET, Vancouver, BC V5R 2A3",BP-2017-04345,16
"469 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3",BP-2017-06081,51
"483 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1",BP-2018-04623,4
"1709 E 18TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-03560,2
"1705 E 18TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-03559,2
"75 SW MARINE DRIVE, Vancouver, BC V5X 2P9",BP-2018-05548,54
"4675 CAMBIE STREET, Vancouver, BC V5Z 2Z1",BP-2019-00506,34
"4685 CAMBIE STREET, Vancouver, BC V5Z 2Z1",BP-2019-00507,45
"7858 OAK STREET, Vancouver, BC V6P 4A5",BP-2019-00837,16
"8888 OSLER STREET, Vancouver, BC",BP-2018-04304,76
"1280 SEYMOUR STREET, Vancouver, BC V6B 3N9",BP-2019-01837,40
"7638 CAMBIE STREET, Vancouver, BC",BP-2018-00913,38
"2525 RENFREW STREET, Vancouver, BC V5M 3K3",BP-2021-05578,37
"3619 ARBUTUS STREET, Vancouver, BC",BP-2022-02978,118
"1766 FRANCES STREET, Vancouver, BC V5L 1Z6",BP-2021-05562,81
